ProductKey,Product,Standard Cost,Color,Subcategory,Category,Background Color Format,Font Color Format,Category Key,Subcategory Key,Category ID,Subcategory ID
264,"LL Road Frame - Red, 48",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
265,"LL Road Frame - Red, 48",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
266,"LL Road Frame - Red, 52",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
267,"LL Road Frame - Red, 52",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
268,"LL Road Frame - Red, 58",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
269,"LL Road Frame - Red, 58",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
270,"LL Road Frame - Red, 60",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
271,"LL Road Frame - Red, 60",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
272,"LL Road Frame - Red, 62",181.49,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
273,"LL Road Frame - Red, 62",187.16,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
274,"ML Road Frame - Red, 44",352.14,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
275,"ML Road Frame - Red, 48",352.14,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
276,"ML Road Frame - Red, 52",352.14,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
277,"ML Road Frame - Red, 58",352.14,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
278,"ML Road Frame - Red, 60",352.14,Red,Road Frames,Components,#FF0000,#FFFFFF,COM,ROA,1,1
417,"ML Road Frame-W - Yellow, 38",300.12,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
418,"ML Road Frame-W - Yellow, 38",360.94,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
429,"ML Road Frame-W - Yellow, 40",300.12,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
430,"ML Road Frame-W - Yellow, 40",360.94,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
431,"ML Road Frame-W - Yellow, 42",300.12,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
432,"ML Road Frame-W - Yellow, 42",360.94,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
433,"ML Road Frame-W - Yellow, 44",300.12,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
434,"ML Road Frame-W - Yellow, 44",360.94,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
435,"ML Road Frame-W - Yellow, 48",300.12,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
436,"ML Road Frame-W - Yellow, 48",360.94,Yellow,Road Frames,Components,#FFFF00,#000000,COM,ROA,1,1
332,"Road-650 Black, 58",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
333,"Road-650 Black, 58",486.71,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
334,"Road-650 Black, 60",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
335,"Road-650 Black, 60",486.71,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
336,"Road-650 Black, 62",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
337,"Road-650 Black, 62",486.71,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
338,"Road-650 Black, 44",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
339,"Road-650 Black, 44",486.71,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
340,"Road-650 Black, 48",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
341,"Road-650 Black, 48",486.71,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
342,"Road-650 Black, 52",413.15,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
343,"Road-650 Black, 52",486.71,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
373,"Road-250 Black, 44",1320.68,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
374,"Road-250 Black, 44",1554.95,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
375,"Road-250 Black, 48",1320.68,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
376,"Road-250 Black, 48",1554.95,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
377,"Road-250 Black, 52",1320.68,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
378,"Road-250 Black, 52",1554.95,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
379,"Road-250 Black, 58",1320.68,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
380,"Road-250 Black, 58",1554.95,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
584,"Road-750 Black, 58",343.65,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
604,"Road-750 Black, 44",343.65,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
605,"Road-750 Black, 48",343.65,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
606,"Road-750 Black, 52",343.65,Black,Road Bikes,Bikes,#000000,#FFFFFF,BIK,ROA,3,4
310,"Road-150 Red, 62",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
311,"Road-150 Red, 44",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
312,"Road-150 Red, 48",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
313,"Road-150 Red, 52",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
314,"Road-150 Red, 56",2171.29,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
315,"Road-450 Red, 58",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
316,"Road-450 Red, 60",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
317,"Road-450 Red, 44",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
318,"Road-450 Red, 48",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
319,"Road-450 Red, 52",884.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
320,"Road-650 Red, 58",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
321,"Road-650 Red, 58",486.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
322,"Road-650 Red, 60",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
323,"Road-650 Red, 60",486.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
324,"Road-650 Red, 62",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
325,"Road-650 Red, 62",486.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
326,"Road-650 Red, 44",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
327,"Road-650 Red, 44",486.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
328,"Road-650 Red, 48",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
329,"Road-650 Red, 48",486.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
330,"Road-650 Red, 52",413.15,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
331,"Road-650 Red, 52",486.71,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
368,"Road-250 Red, 44",1518.79,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
369,"Road-250 Red, 48",1518.79,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
370,"Road-250 Red, 52",1518.79,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
371,"Road-250 Red, 58",1320.68,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
372,"Road-250 Red, 58",1554.95,Red,Road Bikes,Bikes,#FF0000,#FFFFFF,BIK,ROA,3,4
381,"Road-550-W Yellow, 38",605.65,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
382,"Road-550-W Yellow, 38",713.08,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
383,"Road-550-W Yellow, 40",605.65,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
384,"Road-550-W Yellow, 40",713.08,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
385,"Road-550-W Yellow, 42",605.65,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
386,"Road-550-W Yellow, 42",713.08,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
387,"Road-550-W Yellow, 44",605.65,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
388,"Road-550-W Yellow, 44",713.08,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
389,"Road-550-W Yellow, 48",605.65,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
390,"Road-550-W Yellow, 48",713.08,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
580,"Road-350-W Yellow, 40",1082.51,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
581,"Road-350-W Yellow, 42",1082.51,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
582,"Road-350-W Yellow, 44",1082.51,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
583,"Road-350-W Yellow, 48",1082.51,Yellow,Road Bikes,Bikes,#FFFF00,#000000,BIK,ROA,3,4
296,"HL Mountain Frame - Black, 42",617.03,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
297,"HL Mountain Frame - Black, 42",653.7,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
298,"HL Mountain Frame - Black, 42",739.04,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
299,"HL Mountain Frame - Black, 44",699.09,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
300,"HL Mountain Frame - Black, 48",699.09,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
301,"HL Mountain Frame - Black, 46",617.03,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
302,"HL Mountain Frame - Black, 46",653.7,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
303,"HL Mountain Frame - Black, 46",739.04,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
304,"HL Mountain Frame - Black, 38",617.03,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
305,"HL Mountain Frame - Black, 38",653.7,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
306,"HL Mountain Frame - Black, 38",739.04,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
348,"Mountain-100 Black, 38",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
349,"Mountain-100 Black, 42",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
350,"Mountain-100 Black, 44",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
351,"Mountain-100 Black, 48",1898.09,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
358,"Mountain-200 Black, 38",1105.81,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
359,"Mountain-200 Black, 38",1251.98,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
360,"Mountain-200 Black, 42",1105.81,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
361,"Mountain-200 Black, 42",1251.98,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
362,"Mountain-200 Black, 46",1105.81,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
363,"Mountain-200 Black, 46",1251.98,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
364,"Mountain-300 Black, 38",598.44,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
365,"Mountain-300 Black, 40",598.44,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
366,"Mountain-300 Black, 44",598.44,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
367,"Mountain-300 Black, 48",598.44,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
409,"ML Mountain Frame - Black, 38",185.82,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
426,"ML Mountain Frame - Black, 40",185.82,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
427,"ML Mountain Frame - Black, 44",185.82,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
428,"ML Mountain Frame - Black, 48",185.82,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
531,"LL Mountain Frame - Black, 42",136.79,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
532,"LL Mountain Frame - Black, 44",136.79,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
533,"LL Mountain Frame - Black, 48",136.79,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
534,"LL Mountain Frame - Black, 52",136.79,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
550,"LL Mountain Frame - Black, 40",136.79,Black,Mountain Frames,Components,#000000,#FFFFFF,COM,MOU,1,3
596,"Mountain-500 Black, 40",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
597,"Mountain-500 Black, 42",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
598,"Mountain-500 Black, 44",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
599,"Mountain-500 Black, 48",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
600,"Mountain-500 Black, 52",294.58,Black,Mountain Bikes,Bikes,#000000,#FFFFFF,BIK,MOU,3,5
288,"HL Mountain Frame - Silver, 42",623.84,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
289,"HL Mountain Frame - Silver, 42",660.91,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
290,"HL Mountain Frame - Silver, 42",747.2,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
291,"HL Mountain Frame - Silver, 44",706.81,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
292,"HL Mountain Frame - Silver, 48",706.81,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
293,"HL Mountain Frame - Silver, 46",623.84,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
294,"HL Mountain Frame - Silver, 46",660.91,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
295,"HL Mountain Frame - Silver, 46",747.2,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
307,"HL Mountain Frame - Silver, 38",623.84,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
308,"HL Mountain Frame - Silver, 38",660.91,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
309,"HL Mountain Frame - Silver, 38",747.2,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
344,"Mountain-100 Silver, 38",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
345,"Mountain-100 Silver, 42",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
346,"Mountain-100 Silver, 44",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
347,"Mountain-100 Silver, 48",1912.15,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
352,"Mountain-200 Silver, 38",1117.86,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
353,"Mountain-200 Silver, 38",1265.62,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
354,"Mountain-200 Silver, 42",1117.86,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
355,"Mountain-200 Silver, 42",1265.62,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
356,"Mountain-200 Silver, 46",1117.86,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
357,"Mountain-200 Silver, 46",1265.62,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
511,"ML Mountain Frame-W - Silver, 40",199.38,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
512,"ML Mountain Frame-W - Silver, 42",199.38,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
513,"ML Mountain Frame-W - Silver, 46",199.38,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
524,"LL Mountain Frame - Silver, 42",144.59,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
525,"LL Mountain Frame - Silver, 44",144.59,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
526,"LL Mountain Frame - Silver, 48",144.59,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
527,"LL Mountain Frame - Silver, 52",144.59,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
549,"ML Mountain Frame-W - Silver, 38",199.38,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
551,"LL Mountain Frame - Silver, 40",144.59,Silver,Mountain Frames,Components,#C0C0C0,#000000,COM,MOU,1,3
587,"Mountain-400-W Silver, 38",419.78,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
588,"Mountain-400-W Silver, 40",419.78,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
589,"Mountain-400-W Silver, 42",419.78,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
590,"Mountain-400-W Silver, 46",419.78,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
591,"Mountain-500 Silver, 40",308.22,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
592,"Mountain-500 Silver, 42",308.22,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
593,"Mountain-500 Silver, 44",308.22,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
594,"Mountain-500 Silver, 48",308.22,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
595,"Mountain-500 Silver, 52",308.22,Silver,Mountain Bikes,Bikes,#C0C0C0,#000000,BIK,MOU,3,5
215,"Sport-100 Helmet, Black",12.03,Black,Helmets,Accessories,#000000,#FFFFFF,ACC,HEL,2,2
216,"Sport-100 Helmet, Black",13.88,Black,Helmets,Accessories,#000000,#FFFFFF,ACC,HEL,2,2
217,"Sport-100 Helmet, Black",13.09,Black,Helmets,Accessories,#000000,#FFFFFF,ACC,HEL,2,2
410,LL Mountain Front Wheel,26.97,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
411,ML Mountain Front Wheel,92.81,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
412,HL Mountain Front Wheel,133.3,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
413,LL Road Front Wheel,37.99,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
414,ML Road Front Wheel,110.28,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
415,HL Road Front Wheel,146.55,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
416,Touring Front Wheel,96.8,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
419,LL Mountain Rear Wheel,38.96,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
420,ML Mountain Rear Wheel,104.8,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
421,HL Mountain Rear Wheel,145.28,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
422,LL Road Rear Wheel,49.98,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
423,ML Road Rear Wheel,122.27,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
424,HL Road Rear Wheel,158.53,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
425,Touring Rear Wheel,108.78,Black,Wheels,Components,#000000,#FFFFFF,COM,WHE,1,6
445,"Men's Sports Shorts, S",24.75,Black,Shorts,Clothing,#000000,#FFFFFF,CLO,SHO,4,7
453,"Men's Sports Shorts, M",24.75,Black,Shorts,Clothing,#000000,#FFFFFF,CLO,SHO,4,7
454,"Men's Sports Shorts, L",24.75,Black,Shorts,Clothing,#000000,#FFFFFF,CLO,SHO,4,7
455,"Men's Sports Shorts, XL",24.75,Black,Shorts,Clothing,#000000,#FFFFFF,CLO,SHO,4,7
